Owner,Nominal crude steel capacity (ttpa),litpop_value,plant_count,country_count,Latitude,Longitude
Shanxi Jinnan Iron and Steel Group Co Ltd,6400.0,162446633.34105244,1,1,35.678541,111.51465
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,6400.0,438464931.03294915,1,1,39.468366,118.256774
Jingye Iron and Steel Co Ltd,6400.0,310050323.594974,1,1,38.391372,114.139998
Fujian Sanbao Steel Co Ltd,6196.0,1437201755.3926136,1,1,24.635769,117.603677
Guangxi Guixin Steel Group Co Ltd,6050.0,90031801.82740928,1,1,23.978962,111.735523
Uttam Galva Ferous Ltd,6000.0,354990517.4078579,1,1,15.184613,76.824905
Lingyuan Iron & Steel Co Ltd,5994.0,1351875952.0510519,1,1,41.271048,119.41374
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,5900.0,9319315191.657978,1,1,26.565265,101.673737
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,5825.0,1597397963.2435653,1,1,39.600956,118.358726
Rockcheck Steel Group Co Ltd,5750.0,8170303829.634859,1,1,38.970638,117.495794
JiLin Province Xinda Steel Co Ltd,5600.0,15053158.02973983,1,1,42.3249,125.246892
Laiwu Steel Yinshan Section Co Ltd,5600.0,1723461254.4344203,1,1,36.106143,117.820108
Hebei Puyang Iron and Steel Co Ltd,5567.0,313791587.31473416,1,1,36.733675,113.925995
Jingye (Yingkou) Medium Plate Co Ltd,5500.0,1444886964.8755352,1,1,40.671136,122.395441
Tangshan Donghai Iron and Steel Group Co Ltd,5499.0,770999040.1643324,1,1,39.748373,118.624794
WISCO Group Kunming Steel Co Ltd,5476.0,401331048.2710037,2,1,24.950474,102.372738
Jiangsu Province Binxin Steel Group Co Ltd,5400.0,3627723888.232499,1,1,35.09556,119.279989
Zhongxin Iron and Steel Group Co Ltd,5400.0,2852869883.3872247,1,1,34.368618,118.31556
Qingdao Special Iron and Steel Co Ltd,5320.0,431849713.01466113,1,1,35.6296,119.722335
Xingtai Iron and Steel Co Ltd,5310.0,11288701979.281197,2,1,37.036845,114.909232
Lloyds Metals and Energy Ltd,5250.0,124927907.9499686,2,1,19.850123,79.4664715
Jinan Iron & Steel Group Co Ltd,5200.0,2791499561.2492723,1,1,36.718952,114.111677
Orissa Metaliks Pvt Ltd,5153.0,2205613025.7592883,3,1,22.199786666666665,86.18568800000001
Welspun Corp Ltd,5138.0,786684238.6823866,1,1,23.112781,70.0866885
Fujian Great Dong Hai Industrial Group Co Ltd,5128.0,548350467.9412751,1,1,25.737777,119.592239
Wuyang Iron and Steel Co Ltd,5040.0,642394331.888709,1,1,33.287536,113.474328
Hebei Jinxi Iron & Steel Group Co Ltd,5000.0,251849587.08247745,1,1,40.209844,118.220547
Hebei Xinda Iron and Steel Co Ltd,5000.0,796505445.106471,1,1,39.898362,118.579364
JSW Vijayanagar Metallics Ltd,5000.0,334841572.46645224,1,1,15.203176,76.659122
Tangshan Songting IRON&STEEL Co Ltd,5000.0,1205952791.2560177,1,1,39.938866,118.576678
Baowu Group Echeng Iron & Steel Co Ltd,4971.0,14250230836.869875,1,1,30.39574,114.861313
Houying Group Haicheng Iron and Steel Co Ltd,4900.0,563518410.1278985,1,1,40.981855,122.948643
Tianjin Iron PLANT Co Ltd,4870.0,1279452525.6709294,1,1,36.58967,113.745792
Guangxi Chiji Iron and Steel Co Ltd,4800.0,105313275.99139243,1,1,23.402121,111.134606
Shanxi Meijin Iron and Steel Co Ltd,4790.0,2089291270.347642,2,1,38.155327,112.4594385
Tokyo Steel Manufacturing Co Ltd,4786.0,18429753186.74529,4,1,34.909732500000004,135.435924
Shanxi Jianlong Industrial Co Ltd,4750.0,384406160.84900844,1,1,35.417405,111.303919
JiuJiang PXSteel Co Ltd,4700.0,478146017.5263399,1,1,29.778431,116.27527
Shiheng SPECIAL Steel Group Co Ltd,4650.0,1341653440.6361408,1,1,36.229201,116.533981
Osaka Steel Co Ltd,4650.0,254812052510.10464,1,1,34.59822,135.45439
Jincheng FUSHENG Iron & Steel Co Ltd,4600.0,981005265.3164757,1,1,35.662985,112.882395
Tonghua Iron & Steel Co Ltd,4590.0,601217158.3271072,1,1,41.779125,126.022349
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500.0,10311114379.091043,1,1,39.300258,117.800231
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,438464931.03294915,1,1,39.497472,118.272056
Hanshan Iron and Steel Co Ltd,4488.0,296202759.7826058,1,1,36.685881,113.837073
Evonith Metallics Ltd,4480.0,428413959.05805874,2,1,20.700508499999998,78.62942050000001
Hubei Jinshenglan Metallurgical Technology Co Ltd,4450.0,96700424.06712171,1,1,29.916729,113.822921
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,277866579.7444777,1,1,40.515035,117.596071
Tangshan Heavy Plate Co Ltd,4200.0,658638310.9064554,1,1,39.268452,119.024819
Jianlong Xilin Iron and Steel Co Ltd,4200.0,10642384.938641924,1,1,47.495036,129.287919
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,167993672.70306432,1,1,36.033646,104.035535
Ningbo Iron & Steel Co Ltd,3999.0,7787131930.195617,1,1,29.918776,121.876423
Yancheng Lianxin Steel Co Ltd,3950.0,47191425.791021824,1,1,33.211332,120.774892
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,383769388.9911753,1,1,36.613716,114.082349
Benxi Beiying Iron & Steel (GROUP) Co Ltd,3950.0,423489077.5911907,1,1,41.224814,123.608374
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,146825967.31663737,1,1,27.74799,102.20517
Shandong Iron and Steel Co Ltd,3850.0,1184398291.2950804,2,1,36.0881105,117.839203
Shyam Metalics and Energy Ltd,3823.0,508460503.06881213,2,1,22.6870465,85.5822505
Anhui Changjiang Steel Co Ltd,3800.0,2369022303.7466125,1,1,31.502272,118.465162
Zenith Steel Group Co Ltd,3700.0,18149919723.49238,1,1,31.707656,120.079591
Henan YAXIN Steel Industry Co Ltd,3600.0,1630271672.3960836,1,1,35.879956,114.334825
Shanxi Zhongyang Iron & Steel Co Ltd,3600.0,320338051.3482251,1,1,37.370796,111.161118
Xinji AOSEN Steel Group Co Ltd,3600.0,215529762.4241828,1,1,37.752351,115.184798
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600.0,382250327.83036226,1,1,32.488704,114.038243
Guangdong Jinshenglan Metallurgical Technology Co Ltd,3600.0,288572450.6037076,1,1,22.888729,112.263081
Shougang Changzhi IRON& Steel Co Ltd,3600.0,2449438562.2978115,1,1,36.356404,113.060809
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501.0,2917021785.146939,1,1,26.595229,104.877413
Ningxia Jianlong Special Steel Co Ltd,3500.0,698923464.9402945,1,1,39.215452,106.688294
Wuzhou Yongda Steel Works Co Ltd,3496.0,607979569.3111423,1,1,23.524465,111.2402
Qinhuangdao Hongxing Iron & Steel Co Ltd,3450.0,853581286.6142415,1,1,39.700721,118.871477
Daye SPECIAL Steel Co Ltd,3420.0,5065987125.999837,1,1,30.204603,115.125838
Guangxi BG New Materials Co Ltd,3400.0,490660026.3866026,1,1,21.519924,109.506427
Henan Xinjinhui Stainless Steel Industry Co Ltd,3400.0,797364861.8664675,1,1,34.263509,113.853979
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,3364.0,4165354036.0691886,1,1,33.566039,118.988442
Rashmi Metaliks Ltd,3330.0,2729308041.8371925,2,1,23.033503500000002,87.186836
Changzhou Dongfang Special Steel Co Ltd,3300.0,1518567272.309646,1,1,31.602554,119.724256
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300.0,1835372768.9161925,1,1,32.249602,119.620438
Baosteel Desheng Stainless Steel Co Ltd,3220.0,53661889.35483706,1,1,26.48747,119.654461
Zhenshi Group EASTERN SPECIAL Steel Co Ltd,3212.0,2908351559.15047,1,1,30.720411,120.898518
Changshu Longteng Special Steel Co Ltd,3203.0,9736930825.62187,1,1,31.723833,120.835685
Guangxi Deyuan Metallurgy Co Ltd,3200.0,271821385.1967023,2,1,22.785653,109.11917
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051.0,2524762539.6796427,1,1,21.96092,113.198718
Henan Angang Zhoukou Iron and Steel Co Ltd,3050.0,1216482444.7504897,1,1,33.364534,115.099661
Jiangsu Xusteel Group Co Ltd,3050.0,536146471.99254227,1,1,34.577016,117.339638
Shaanxi Lueyang Iron and Steel Co Ltd,3050.0,32314098.785076372,1,1,33.323678,106.167206
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,658638310.9064554,1,1,39.270032,119.01376
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",3000.0,181895609.9521647,1,1,29.39798,103.542532
Nanyang Hanye SPECIAL STREET Co Ltd,3000.0,313551485.3556643,1,1,33.269324,111.534635
Shanxi Xintai Iron & Steel Co Ltd,3000.0,4334687658.950084,1,1,37.075017,111.985148
Weifang SPECIAL Steel Group Co Ltd,3000.0,3368126297.6347632,1,1,36.644469,119.238427
JSW Rayalaseema Steel Limited,3000.0,45263087.15252942,1,1,14.76855,78.403263
Jiangsu Jingye Iron and Steel Co Ltd,3000.0,1557019273.7154286,1,1,34.38381,119.786878
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,11794218.386546498,1,1,26.768925,119.765203
NMDC Steel Ltd,3000.0,166213907.73032075,2,1,17.13973905,79.5432955
DELONG Steel Ltd,3000.0,676290293.567939,1,1,37.086116,114.384832
Jinding Heavy Industries Co Ltd,3000.0,2791499561.2492723,1,1,36.718952,114.111677
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,890142435.6329616,1,1,34.423786,119.778311
Lengshuijiang Iron and Steel Co Ltd,3000.0,982323572.5654914,1,1,27.690401,111.437288
Lvliang Jianlong Industrial Co Ltd,3000.0,1570081181.240564,1,1,37.47311,112.06093
Tianjin Pipe Corp,3000.0,7120436820.791538,1,1,39.034002,117.486798
Anhui Shoukuang Dachang Metal Material Co Ltd,3000.0,26192474.427464876,1,1,32.329171,115.954963
Shangang Group Hanzhong Iron & Steel Co Ltd,3000.0,686629951.6960833,1,1,33.133192,106.671859
Tangshan Guotang Steel Co Ltd,3000.0,658638310.9064554,1,1,39.293147,119.046972
Shanxi Changxin Industry Co Ltd,2995.0,2719454994.077153,1,1,36.326589,113.117181
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,2980.0,20949106.01836089,1,1,24.012309,102.186364
Godawari Power and Ispat Ltd,2859.0,919900210.3246052,2,1,21.470623,81.7106675
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,2850.0,1440684200.7685635,1,1,36.939125,118.785598
Shandong Jinguan Metallurgical Technology Co Ltd,2810.0,9904946687.227655,1,1,37.449126,116.396787
Yingkou Iron & Steel Co Ltd,2800.0,758099574.9849542,1,1,40.664651,122.415057
Fangda Special Steel Technology Co Ltd,2800.0,30850521591.191532,1,1,28.645441,115.99204
ShanXi TongCai Industry and Trade Co Ltd,2780.0,747390169.8949468,1,1,35.694321,111.429381
Liyang Baorun Steel Co Ltd,2760.0,5294448729.56292,1,1,31.471123,119.485941
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,2750.0,3553105312.443734,2,1,36.655461,114.06882949999999
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2750.0,31013010.919899933,1,1,42.333321,86.302481
Anhui Guihang Special Steel Co Ltd,2700.0,189683194.67400867,1,1,30.531068,117.251147
Wuan Yuhua Steel Co Ltd,2700.0,2791499561.2492723,1,1,36.731752,114.098377
Minyuan Iron and Steel Group Co Ltd,2700.0,258770067.85181326,1,1,34.013369,116.422599
Tongling City Xuanli Special Steel Co Ltd,2700.0,322755495.5135918,1,1,31.062807,117.956015
Shanxi Gaoyi Steel Co Ltd,2700.0,2190467911.060826,1,1,35.586841,111.258436
Fushun New Steel Corp Ltd,2700.0,8540543698.927486,1,1,41.841223,123.753895
Hebei Xinjin Iron and Steel Co Ltd,2700.0,6917400988.421546,1,1,36.715632,114.208992
Jilin Jianlong Steel Co Ltd,2700.0,133726064.71790448,1,1,44.011951,126.537086
Linyi Iron and Steel Investment Group Co Ltd,2700.0,212520272.51501238,1,1,35.15735,119.133999
Fulun Iron & Steel Co Ltd,2700.0,792299266.5563575,1,1,36.308447,117.540425
Chifeng Zhongtang Special Steel Co Ltd,2700.0,14520160.651008502,1,1,41.834064,119.281883
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695.0,278283618.2820494,1,1,39.193697,122.057788
Henan Fengbao SPECIAL Steel Co Ltd,2650.0,1250100343.4634068,1,1,36.131666,113.872158
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2650.0,53661889.35483706,1,1,26.483815,119.67105
Anyuan Iron & Steel Co Ltd,2650.0,7940031421.185044,1,1,27.64555,113.902126
Kyoei Steel Ltd,2645.0,33170209963.181366,3,1,34.61929633333333,134.55528633333333
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,2600.0,3691623504.775808,1,1,36.143573,114.149964
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,2600.0,240153183.6302977,1,1,25.45543,103.547242
Rashmi Green Hydrogen Steel Pvt Ltd,2600.0,1986124537.7752411,1,1,22.331489,87.398085
Daye Huaxin Industrial Co Ltd,2583.0,1002488417.5250294,1,1,30.070219,114.926251
Jianlong Beiman SPECIAL Steel Co Ltd,2570.0,3437488269.916678,1,1,47.191285,123.616512
Fujian Yixin Steel & Iron Co Ltd,2510.0,136966250.464103,1,1,26.491308,119.63624
Shanxi Tongde Xinghua Special Steel Co Ltd,2500.0,353310074.948443,1,1,40.183517,113.305462
Qinyang Hongda Iron & Steel Co Ltd,2500.0,514258504.00895184,1,1,35.184849,112.902248
Guangdong Guoxin Industrial Co Ltd,2500.0,4977101905.5661955,1,1,23.407415,116.570818
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500.0,1570133414.6514165,1,1,36.621504,114.128189
Chifeng Yuanlian Steel Co Ltd,2450.0,1995635766.3421109,1,1,42.278115,119.015289
Jayaswal Neco Industries Ltd,2450.0,1676028759.8407507,1,1,21.354495,81.676444
Tangshan Zhengfeng Steel Co Ltd,2439.0,2256673828.2882605,1,1,39.85271,118.181279
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400.0,194781090.93254027,1,1,22.907614,112.224952
Yangchun New Iron & Steel Co Ltd,2400.0,126961940.125218,1,1,22.084904,111.642187
Tangshan Chunxing Special Steel Co Ltd,2400.0,1872854078.2187674,1,1,39.676326,118.427914
Yangzhou Qinyou Special Metal Materials Co Ltd,2400.0,361408387.5824465,1,1,32.838703,119.425236
Liaoyang United Steel Co Ltd,2300.0,1281795295.850902,1,1,41.19138,122.877311
Sichuan Dazhou Iron & Steel Group Co Ltd,2300.0,10197981456.470524,1,1,31.18945,107.453099
Fujian San'an Iron & Steel Co Ltd,2300.0,1080493062.2097301,1,1,25.244396,118.029905
Shanxi HONGDA Iron and Steel Group Co Ltd,2300.0,250634379.58227268,1,1,35.701895,110.786826
Hebei Rongxin Iron & Steel Co Ltd,2300.0,796505445.106471,1,1,39.880661,118.558755
Hebei Tangyin IRON&STEEL Co Ltd,2300.0,6582094224.79956,2,1,39.4298775,118.321497
Zunyi County Fuxin Iron & Steel Product Co Ltd,2260.0,288427354.33009654,1,1,27.591697,106.815453
Qinhuangdao Baigong Steel Co Ltd,2260.0,1644959560.7920702,1,1,39.748773,118.819472
Zhongpu (Handan) Iron and Steel Co Ltd,2250.0,296202759.7826058,1,1,36.721376,113.910271
Huangshi Xingang Heavy Industry Technology Co Ltd,2250.0,69794425.23817413,1,1,30.097108,115.284652
JFE Bars & Shapes Corp,2220.0,10166868071.82332,3,1,35.056672999999996,136.36677866666665
BMM Ispat Ltd,2208.0,326466748.184155,1,1,15.16972,76.37971
Guangdong Yuebei United Steel Co Ltd,2055.0,114780320.39245096,1,1,24.262452,113.728198
Guangdong Guangqing METAL Technology Co Ltd,2040.0,546325381.749661,1,1,21.697069,111.848841
Xining Special Steel Co Ltd,2040.0,3718700727.8378444,1,1,36.66856,101.671414
Chongqing Zuhang Steel Co Ltd,2020.0,419108487.0652244,1,1,29.440056,105.741929
Heilongjiang Jianlong Iron and Steel Co Ltd,2001.0,125175844.19061546,1,1,46.602297,131.071877
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000.0,2337622.9703656165,1,1,40.689778,110.214707
Tangshan Wenfeng Special Steel Co Ltd,2000.0,146526011.7107865,1,1,39.146541,118.432261
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000.0,20271489.796361625,1,1,28.851779,105.70509
BERIS Jiangsu Heavy Industry Co Ltd,2000.0,178113102.28059617,1,1,32.104319,119.792126
Fujian Wuhang Stainless Steel Products Co Ltd,2000.0,6512786661.363352,1,1,25.95923,119.452018
Fuzhou Wuhang Steel Products Co Ltd,2000.0,6512786661.363352,1,1,25.995101,119.495725
Inner Mongolia (Naiman) Jingan Non-ferrous Metal Materials Co Ltd,2000.0,755333747.2342982,1,1,43.696186,122.219433
Wuhai Baogang Wanteng Iron and Steel Co Ltd,2000.0,111523145.34028804,1,1,39.855971,106.886647
Wuhu Xinxing Ductile Iron Pipes Co Ltd,2000.0,1042494789.8844099,1,1,31.229893,118.150867
Guangdong Jingye Iron and Steel Co Ltd,2000.0,7797595936.055308,1,1,23.454666,116.498483
Wuhu Fuxin Iron & Steel Co Ltd,2000.0,203072621.1319695,1,1,31.194505,118.067833
Hubei Lijin Steel Group Co Ltd,2000.0,728653447.9992169,1,1,32.127263,112.715688
Shijiazhuang Iron and Steel Co Ltd,2000.0,41715661516.27928,2,1,38.067871499999995,114.2967005
Hubei Shunle Iron and Steel Co Ltd,2000.0,96700424.06712171,1,1,29.925026,113.826118
Jiangsu Changqiang Iron & Steel Co Ltd,2000.0,5149260849.902505,1,1,31.952064,120.189749
Surjagad Ispat Pvt Ltd,2000.0,1744300.2223284245,1,1,19.487201,79.968551
Guizhou United Steel (Group) Co Ltd,1990.0,288427354.33009654,1,1,27.591691,106.814024
Shyam Steel Industries Ltd,1960.0,363171012.67553264,1,1,23.590212,86.724603
ShiGangJingCheng Equipment Development and Manufacturing Co Ltd,1900.0,758099574.9849542,1,1,40.626396,122.38884
Angang Lianzhong Stainless Steel Corp,1900.0,23605391215.706425,1,1,23.126822,113.505817
Lucheng Xingbao Iron & Steel Co Ltd,1900.0,2719454994.077153,1,1,36.332449,113.15509
Shandong Taigang Xinhai Stainless Steel Co Ltd,1860.0,374021532.01611346,1,1,35.228556,119.084178
Hebei Huaxi Special Steel Co Ltd,1824.0,658638310.9064554,1,1,39.260784,119.005925
Orissa Steel & Power Pvt Ltd,1804.0,47335285.52206003,1,1,22.3591,87.017184
Ningxia Iron and Steel (Group) Co Ltd,1800.0,21396075.606333133,1,1,37.503054,105.078348
Anshan Baode Iron & Steel Co Ltd,1800.0,4381066890.384275,1,1,41.173613,122.945501
Hbzx HIGH Tech Co Ltd,1800.0,11073664760.627905,1,1,40.607977,115.067516
Nakayama Steel Works Ltd,1800.0,254812052510.10464,1,1,34.628162,135.459688
Fujian Dingsheng Steel Co Ltd,1726.0,65973740.548705816,1,1,27.224477,120.328828
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,1725.0,14775761.727532735,2,1,23.1567485,109.43017850000001
Godo Steel Ltd,1700.0,176002564914.40576,3,1,35.057881,136.68735066666667
Licheng Taihang Iron & Steel Co Ltd,1700.0,231213739.23506635,1,1,36.472303,113.344155
Shanxi Zhongsheng Iron and Steel Co Ltd,1650.0,224177109.58702946,1,1,35.727776,111.330122
Heyuan Derun Steel Co Ltd,1650.0,5199836757.785021,2,1,23.5457045,114.820847
Hebei YongYang Special Steel Group Co Ltd,1610.0,364664534.1041899,1,1,36.786851,114.376132
Shri Bajrang Power and Ispat Ltd,1600.0,450845929.98527956,1,1,21.48619,81.771697
Jianglong Acheng Iron & Steel Co Ltd,1600.0,3851213851.5239058,1,1,45.562002,126.968128
Sanyo Special Steel Co Ltd,1596.0,12333371034.581137,1,1,34.788074,134.672046
Jiangsu HONGTAI Metals Ware Co Ltd,1576.0,3200493895.461697,1,1,32.138393,119.554693
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,1575.0,1570133414.6514165,1,1,36.664097,114.115263
Kalyani Steels Ltd,1509.0,319583186.94651854,1,1,20.601819,85.594653
Chengdu Changfeng Steel Group Co Ltd,1500.0,846260426.3465284,1,1,31.031921,103.672956
Danyang Longjiang Steel Co Ltd,1500.0,5805245295.940704,1,1,32.027791,119.57706
Ningxia Xinghua Iron and Steel Co Ltd,1500.0,1044069289.8932406,1,1,39.309571,106.79093
Qian'an Zhayi Steel Group Co Ltd,1500.0,722897426.2393645,1,1,40.044026,118.552001
Longnan Fuxin Steel Co Ltd,1500.0,85055828.36295038,1,1,24.912904,114.844503
Jiangyin Huaxi Steel Co Ltd,1500.0,10086515908.61508,1,1,31.816482,120.424347
Jilin Jingang Lron and Steel Co Ltd,1500.0,7056524178.650425,1,1,43.20023,124.335697
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,607979569.3111423,1,1,23.518229,111.235509
Daido Steel Co Ltd,1500.0,27104407629.54368,1,1,35.016404,136.864744
Aichi Steel Corp,1495.0,110186877555.41345,1,1,35.044558,136.900772
Hospet Steels Ltd,1461.0,204245873.82605147,1,1,15.339055,76.251696
